,masa_A,
t,r,θr
4.37,46.93,23.3
4.387,46.9,23.6
4.403,46.89,23.8
4.42,46.9,23.7
4.437,46.9,23.6
4.453,46.9,23.3
4.47,46.88,22.8
4.487,46.86,22.2
4.503,46.87,21.4
4.52,46.87,20.5
4.537,46.86,19.5
4.553,46.88,18.3
4.57,46.89,17
4.587,46.9,15.6
4.603,46.89,14.2
4.62,46.91,12.6
4.637,46.93,11
4.653,46.95,9.3
4.67,46.96,7.5
4.687,46.98,5.7
4.703,47.01,3.8
4.72,47.03,2
4.737,47.08,0.1
4.753,47.09,-1.8
4.77,47.12,-3.7
4.787,47.15,-5.5
4.803,47.19,-7.3
4.82,47.23,-9.1
4.837,47.27,-10.7
4.853,47.32,-12.4
4.87,47.35,-13.9
4.887,47.38,-15.3
4.903,47.43,-16.7
4.92,47.45,-17.9
4.937,47.49,-19
4.953,47.53,-20
4.97,47.54,-20.9
4.987,47.55,-21.6
5.003,47.57,-22.2
05.02,47.59,-22.6
5.037,47.59,-22.9
5.053,47.59,-23.1
05.07,47.61,-23.1
5.087,47.61,-22.9
5.103,47.62,-22.6
5.12,47.62,-22.2
5.137,47.62,-21.6
5.153,47.63,-20.9
5.17,47.6,-20.1
5.187,47.6,-19.1
5.203,47.58,-18
5.22,47.55,-16.8
5.237,47.52,-15.5
5.253,47.48,-14.1
5.27,47.46,-12.6
5.287,47.45,-11
5.303,47.4,-9.3
5.32,47.37,-7.6
5.337,47.33,-5.8
5.353,47.31,-4
5.37,47.28,-2.2
5.387,47.26,-0.3
5.403,47.22,1.5
5.42,47.17,3.3
5.437,47.15,5.1
5.453,47.1,6.9
5.47,47.09,8.6
5.487,47.07,10.3
5.503,47.05,11.9
5.52,47,13.5
5.537,46.99,14.9
5.553,46.97,16.3
5.57,46.94,17.5
5.587,46.93,18.7
5.603,46.9,19.7
5.62,46.89,20.6
5.637,46.86,21.3
5.653,46.87,21.9
5.67,46.88,22.5
5.687,46.87,22.8
5.703,46.85,23
5.72,46.82,23
5.737,46.84,22.9
5.753,46.81,22.6
5.77,46.81,22.2
5.787,46.8,21.6
5.803,46.78,20.9
5.82,46.79,20.1
5.837,46.79,19.1
5.853,46.81,18
5.87,46.83,16.8
5.887,46.85,15.5
5.903,46.86,14.1
5.92,46.88,12.6
5.937,46.91,11
5.953,46.92,9.4
5.97,46.95,7.7
5.987,46.97,6
6.003,47.01,4.2
06.02,47.04,2.4
6.037,47.07,0.5
