,mass_A,
3.268,51.58,1.8
3.285,51.58,1.0
3.302,51.58,0.2
3.318,51.59,-0.6
3.335,51.58,-1.3
3.352,51.60,-2.1
3.368,51.60,-2.8
3.385,51.61,-3.6
3.402,51.62,-4.2
3.418,51.61,-4.9
3.435,51.62,-5.5
3.452,51.63,-6.1
3.468,51.63,-6.6
3.485,51.64,-7.1
3.502,51.65,-7.5
3.518,51.66,-7.9
3.535,51.67,-8.2
3.552,51.69,-8.4
3.568,51.68,-8.6
3.585,51.69,-8.7
3.602,51.71,-8.8
3.618,51.71,-8.8
3.635,51.72,-8.7
3.652,51.73,-8.6
3.668,51.75,-8.4
3.685,51.75,-8.1
3.702,51.75,-7.8
3.718,51.76,-7.4
3.735,51.76,-7.0
3.752,51.77,-6.5
3.768,51.78,-6.0
3.785,51.78,-5.4
3.802,51.79,-4.8
3.818,51.80,-4.2
3.835,51.80,-3.5
3.852,51.80,-2.8
3.868,51.79,-2.0
3.885,51.79,-1.3
3.902,51.79,-0.5
3.918,51.80,0.3
3.935,51.80,1.1
3.952,51.80,1.8
3.968,51.79,2.6
3.985,51.79,3.4
4.002,51.78,4.2
4.018,51.77,4.9
4.035,51.77,5.6
4.052,51.75,6.2
4.068,51.74,6.9
4.085,51.73,7.5
4.103,51.73,8.0
4.120,51.73,8.5
4.137,51.72,9.0
4.153,51.72,9.4
4.170,51.71,9.7
4.187,51.71,10.0
4.203,51.69,10.3
4.220,51.68,10.4
4.237,51.67,10.5
4.253,51.67,10.6
4.270,51.65,10.5
4.287,51.67,10.5
4.303,51.65,10.3
4.320,51.64,10.1
4.337,51.64,9.8
4.353,51.63,9.5
4.370,51.61,9.1
4.387,51.60,8.7
4.403,51.61,8.2
4.420,51.61,7.6
4.437,51.59,7.0
4.453,51.58,6.4
4.470,51.58,5.8
4.487,51.58,5.1
4.503,51.58,4.4
4.520,51.57,3.6
4.537,51.57,2.9
4.553,51.57,2.1
4.570,51.57,1.3
4.587,51.58,0.5
4.603,51.58,-0.2
4.620,51.59,-1.0
4.637,51.60,-1.7
4.653,51.61,-2.4
4.670,51.62,-3.2
4.687,51.61,-3.8
4.703,51.61,-4.5
4.720,51.62,-5.1
4.737,51.63,-5.7
4.753,51.64,-6.2
4.770,51.64,-6.7
4.787,51.65,-7.1
4.803,51.67,-7.5
4.820,51.67,-7.8
4.837,51.69,-8.1
4.853,51.70,-8.3
4.870,51.71,-8.4
4.887,51.73,-8.5
4.903,51.72,-8.5
4.920,51.73,-8.5
4.937,51.74,-8.4
4.953,51.74,-8.2
4.970,51.75,-8.0
4.987,51.76,-7.7
5.003,51.76,-7.4
5.020,51.78,-7.0
5.037,51.77,-6.5
5.053,51.77,-6.0
5.070,51.78,-5.5
5.087,51.79,-4.9
5.103,51.78,-4.3
5.120,51.78,-3.6
5.137,51.78,-3.0
5.153,51.78,-2.3
5.170,51.78,-1.5
5.187,51.78,-0.8
5.203,51.78,-0.0
5.220,51.77,0.7
5.237,51.78,1.5
5.253,51.77,2.2
5.270,51.76,3.0
5.287,51.75,3.7
5.303,51.75,4.4
5.320,51.74,5.1
5.337,51.72,5.8
5.353,51.73,6.4
5.370,51.71,7.0
5.387,51.70,7.6
5.403,51.69,8.1
5.420,51.69,8.5
5.437,51.68,9.0
5.453,51.67,9.3
5.470,51.66,9.6
5.487,51.66,9.9
5.503,51.65,10.1
5.520,51.66,10.2
5.537,51.64,10.3
5.553,51.64,10.3
5.570,51.64,10.2
5.587,51.63,10.1
5.603,51.60,9.9
5.620,51.60,9.7
5.637,51.59,9.4
5.653,51.59,9.0
5.670,51.59,8.6
5.687,51.58,8.1
5.703,51.57,7.6
5.720,51.56,7.1
5.737,51.55,6.5
5.753,51.55,5.9
5.770,51.57,5.2
5.787,51.55,4.5
5.803,51.55,3.8
5.820,51.56,3.1
5.837,51.57,2.4
5.853,51.56,1.6
5.870,51.56,0.9
5.887,51.57,0.1
5.903,51.57,-0.6
5.920,51.58,-1.4
5.937,51.59,-2.1
5.953,51.61,-2.8
5.970,51.62,-3.4
5.987,51.63,-4.1
6.003,51.63,-4.7
6.020,51.65,-5.3
6.037,51.65,-5.8
6.053,51.66,-6.3
6.070,51.68,-6.7
6.087,51.68,-7.1
6.103,51.70,-7.5
6.120,51.71,-7.7
6.137,51.72,-8.0
6.153,51.73,-8.1
6.170,51.73,-8.2
6.187,51.74,-8.3
6.203,51.74,-8.3
6.220,51.75,-8.2
6.237,51.76,-8.0
6.253,51.78,-7.8
6.270,51.79,-7.6
6.287,51.80,-7.3
6.303,51.80,-6.9
6.320,51.81,-6.5
6.337,51.80,-6.0
6.353,51.81,-5.5
6.370,51.82,-5.0
6.387,51.82,-4.4
6.403,51.82,-3.8
6.420,51.83,-3.1
6.437,51.83,-2.4
6.453,51.82,-1.7
6.470,51.83,-1.0
6.487,51.82,-0.3
6.503,51.81,0.4
6.520,51.81,1.2
6.537,51.80,1.9
6.553,51.79,2.6
6.570,51.79,3.4
6.587,51.77,4.1
6.603,51.76,4.8
6.620,51.75,5.4
6.637,51.75,6.0
6.653,51.74,6.6
6.670,51.73,7.2
6.687,51.72,7.7
6.703,51.71,8.2
6.720,51.70,8.6
6.737,51.69,9.0
6.753,51.68,9.3
6.770,51.67,9.6
6.787,51.66,9.8
6.803,51.64,9.9
6.822,51.64,10.0
6.838,51.63,10.0
6.855,51.63,10.0
6.872,51.62,9.9
6.888,51.62,9.7
6.905,51.61,9.5
6.922,51.60,9.3
6.938,51.59,8.9
6.955,51.59,8.5
6.972,51.58,8.1
6.988,51.57,7.7
7.005,51.57,7.1
7.022,51.56,6.6
7.038,51.56,6.0
7.055,51.56,5.3
7.072,51.56,4.7
7.088,51.56,4.0
7.105,51.56,3.3
7.122,51.56,2.6
7.138,51.57,1.9
7.155,51.56,1.1
7.172,51.58,0.4
7.188,51.59,-0.3
7.205,51.60,-1.0
7.222,51.60,-1.7
7.238,51.61,-2.4
7.255,51.61,-3.1
7.272,51.62,-3.7
7.288,51.64,-4.3
7.305,51.64,-4.9
7.322,51.64,-5.4
7.338,51.66,-5.9
7.355,51.66,-6.4
7.372,51.69,-6.8
7.388,51.70,-7.1
7.405,51.71,-7.4
7.422,51.72,-7.6
7.438,51.73,-7.8
7.455,51.74,-7.9
7.472,51.74,-8.0
7.488,51.75,-8.0
