,mass_A,
t,r,θr
150,51.64,-9.3
167,51.64,-9.3
183,51.64,-9.3
200,51.62,-9.3
217,51.61,-9.3
233,51.61,-9.3
250,51.59,-9.3
267,51.60,-9.3
283,51.59,-9.3
300,51.56,-9.3
317,51.55,-9.3
333,51.55,-9.3
350,51.54,-9.3
367,51.54,-9.3
383,51.55,-9.3
400,51.55,-9.3
417,51.55,-9.3
433,51.55,-9.3
450,51.55,-9.3
467,51.55,-9.3
483,51.56,-9.3
500,51.56,-9.3
517,51.59,-9.3
533,51.60,-9.3
550,51.60,-9.3
567,51.60,-9.3
583,51.60,-9.3
600,51.61,-9.3
617,51.61,-9.3
633,51.61,-9.3
650,51.61,-9.3
667,51.60,-9.3
683,51.60,-9.3
700,51.59,-9.3
717,51.58,-9.3
733,51.58,-9.3
750,51.58,-9.3
767,51.58,-9.3
783,51.57,-9.3
800,51.56,-9.3
817,51.55,-9.3
833,51.55,-9.3
850,51.54,-9.3
867,51.55,-9.3
883,51.55,-9.3
900,51.55,-9.3
917,51.55,-9.3
933,51.53,-9.3
950,51.54,-9.4
967,51.55,-9.4
983,51.56,-9.4
1.000,51.56,-9.4
1.017,51.57,-9.4
1.033,51.63,-9.4
1.050,51.72,-9.3
1.067,51.74,-9.3
1.083,51.73,-9.1
1.100,51.75,-8.8
1.117,51.76,-8.4
1.133,51.72,-8.0
1.150,51.72,-7.5
1.167,51.77,-7.0
1.183,51.76,-6.5
1.200,51.76,-5.9
1.217,51.77,-5.2
1.233,51.76,-4.5
1.250,51.76,-3.7
1.267,51.79,-3.0
1.283,51.79,-2.3
1.300,51.78,-1.5
1.317,51.79,-0.6
1.333,51.77,0.2
1.350,51.77,1.0
1.367,51.78,1.9
1.385,51.79,2.7
1.400,51.78,3.5
1.418,51.76,4.3
1.435,51.75,5.1
1.452,51.75,5.8
1.468,51.76,6.5
1.485,51.76,7.2
1.502,51.76,7.8
1.518,51.75,8.4
1.535,51.72,8.9
1.552,51.71,9.4
1.568,51.72,9.8
1.585,51.72,10.2
1.602,51.73,10.5
1.618,51.73,10.8
1.635,51.69,11.0
1.652,51.70,11.1
1.668,51.70,11.1
1.685,51.71,11.1
1.702,51.68,11.0
1.718,51.66,10.8
1.735,51.64,10.6
1.752,51.64,10.3
1.768,51.64,10.0
1.785,51.64,9.6
1.802,51.63,9.1
1.818,51.61,8.6
1.835,51.60,8.1
1.852,51.59,7.5
1.868,51.60,6.8
1.885,51.61,6.1
1.902,51.61,5.4
1.918,51.60,4.6
1.935,51.60,3.9
1.952,51.59,3.1
1.968,51.59,2.2
1.985,51.59,1.4
2.002,51.60,0.6
2.018,51.59,-0.2
2.035,51.59,-1.0
2.052,51.59,-1.8
2.068,51.60,-2.6
2.085,51.60,-3.3
2.102,51.60,-4.1
2.118,51.60,-4.7
2.135,51.61,-5.4
2.152,51.62,-6.0
2.168,51.61,-6.6
2.185,51.63,-7.1
2.202,51.63,-7.5
2.218,51.64,-7.9
2.235,51.66,-8.3
2.252,51.65,-8.6
2.268,51.66,-8.8
2.285,51.68,-9.0
2.302,51.68,-9.1
2.318,51.70,-9.1
2.335,51.70,-9.0
2.352,51.71,-8.9
2.368,51.72,-8.8
2.385,51.73,-8.5
2.402,51.73,-8.2
2.418,51.74,-7.9
2.435,51.75,-7.5
2.452,51.75,-7.0
2.468,51.77,-6.5
2.485,51.77,-5.9
2.502,51.76,-5.3
2.518,51.76,-4.7
2.535,51.76,-4.0
2.552,51.76,-3.3
2.568,51.76,-2.5
2.585,51.77,-1.7
2.602,51.78,-1.0
2.618,51.78,-0.2
2.635,51.77,0.6
2.652,51.77,1.5
2.668,51.76,2.2
2.685,51.75,3.0
2.702,51.75,3.8
2.718,51.74,4.6
2.735,51.74,5.3
2.752,51.75,6.0
2.768,51.74,6.7
2.785,51.73,7.3
2.802,51.72,7.9
2.818,51.72,8.5
2.835,51.72,9.0
2.852,51.71,9.4
2.868,51.71,9.8
2.885,51.69,10.1
2.902,51.68,10.4
2.918,51.68,10.6
2.935,51.66,10.8
2.952,51.66,10.8
2.968,51.65,10.8
2.985,51.65,10.8
3.002,51.64,10.7
3.018,51.63,10.5
3.035,51.64,10.2
3.052,51.63,9.9
3.068,51.61,9.6
3.085,51.61,9.1
3.102,51.61,8.7
3.118,51.60,8.1
3.135,51.60,7.6
3.152,51.58,6.9
3.168,51.58,6.3
3.185,51.58,5.6
3.202,51.57,4.9
3.218,51.57,4.1
3.235,51.58,3.4
3.252,51.57,2.6
