,mass_A,
t,r,θr
1.000,51.46,-15.2
1.017,51.46,-15.2
1.033,51.46,-15.2
1.050,51.46,-15.2
1.067,51.45,-15.1
1.083,51.45,-15.1
1.100,51.45,-15.1
1.117,51.44,-15.1
1.133,51.44,-15.1
1.150,51.44,-15.2
1.167,51.44,-15.2
1.183,51.44,-15.1
1.200,51.43,-15.1
1.217,51.43,-15.1
1.233,51.43,-15.1
1.250,51.44,-15.1
1.267,51.43,-15.1
1.283,51.44,-15.1
1.300,51.44,-15.1
1.317,51.45,-15.1
1.333,51.46,-15.1
1.352,51.44,-15.1
1.368,51.45,-15.2
1.385,51.46,-15.2
1.402,51.47,-15.2
1.418,51.48,-15.2
1.435,51.48,-15.2
1.452,51.47,-15.2
1.468,51.47,-15.2
1.485,51.54,-15.2
1.502,51.62,-15.2
1.518,51.57,-15.0
1.535,51.54,-14.7
1.552,51.56,-14.1
1.568,51.58,-13.5
1.585,51.52,-12.8
1.602,51.53,-12.1
1.618,51.55,-11.3
1.635,51.53,-10.5
1.652,51.50,-9.5
1.668,51.51,-8.4
1.685,51.49,-7.2
1.702,51.47,-6.1
1.718,51.49,-4.8
1.735,51.49,-3.7
1.752,51.47,-2.4
1.768,51.47,-1.1
1.785,51.46,0.2
1.802,51.43,1.5
1.818,51.44,2.8
1.835,51.45,4.1
1.852,51.42,5.4
1.868,51.43,6.7
1.885,51.44,7.9
1.902,51.42,9.1
1.918,51.43,10.2
1.935,51.44,11.03
1.952,51.45,12.3
1.968,51.45,13.2
1.985,51.44,14.0
2.002,51.44,14.8
2.018,51.45,15.5
2.035,51.45,16.1
2.052,51.46,16.6
2.068,51.48,17.0
2.085,51.46,17.3
2.102,51.49,17.5
2.118,51.48,17.6
2.135,51.50,17.5
2.152,51.51,17.4
2.168,51.50,17.2
2.185,51.50,16.9
2.202,51.50,16.5
2.218,51.50,15.9
2.235,51.49,15.3
2.252,51.48,14.5
2.268,51.48,13.8
2.285,51.48,12.9
2.302,51.48,11.9
2.318,51.49,10.9
2.335,51.49,9.8
2.352,51.49,8.7
2.368,51.49,7.5
2.385,51.49,6.3
2.402,51.49,5.0
2.418,51.49,3.7
2.435,51.47,2.4
2.452,51.48,1.1
2.468,51.48,-0.2
2.485,51.49,-1.5
2.502,51.49,-2.8
2.518,51.49,-4.0
2.535,51.50,-5.2
2.552,51.51,-6.4
2.568,51.52,-7.5
2.585,51.52,-8.5
2.602,51.52,-9.5
2.618,51.53,-10.5
2.635,51.53,-11.3
2.652,51.54,-12.0
2.668,51.54,-12.7
2.685,51.55,-13.3
2.702,51.56,-13.8
2.718,51.57,-14.2
2.735,51.58,-14.4
2.752,51.56,-14.6
2.768,51.56,-14.7
2.785,51.57,-14.6
2.802,51.57,-14.5
2.818,51.55,-14.3
2.835,51.56,-13.9
2.852,51.56,-13.5
2.868,51.56,-12.9
2.885,51.55,-12.3
2.902,51.55,-11.6
2.918,51.56,-10.8
2.935,51.55,-9.9
2.952,51.54,-9.0
2.968,51.53,-8.0
2.985,51.53,-6.9
3.002,51.51,-5.8
3.018,51.51,-4.7
3.035,51.48,-3.5
3.052,51.47,-2.2
3.068,51.47,-1.0
3.085,51.47,0.3
3.102,51.45,1.5
3.118,51.44,2.8
3.135,51.44,4.1
3.152,51.45,5.3
3.168,51.43,6.5
3.185,51.45,7.7
3.202,51.44,8.8
3.218,51.43,9.9
3.235,51.42,10.9
3.252,51.41,11.9
3.268,51.42,12.8
3.285,51.43,13.7
3.302,51.43,14.4
3.318,51.44,15.1
3.335,51.43,15.6
3.352,51.44,16.1
3.368,51.44,16.5
3.385,51.44,16.8
3.402,51.44,16.9
3.418,51.45,17.0
3.435,51.44,17.0
3.452,51.45,16.9
3.468,51.46,16.6
3.485,51.45,16.3
3.502,51.44,15.09
3.518,51.45,15.4
3.535,51.44,14.8
3.552,51.44,14.0
3.568,51.45,13.2
3.585,51.44,12.04
3.602,51.44,11.5
3.618,51.46,10.5
3.635,51.46,9.4
3.652,51.45,8.3
3.668,51.45,7.2
3.685,51.45,6.0
3.702,51.46,4.7
3.718,51.47,3.5
3.735,51.45,2.2
3.752,51.47,1.0
3.768,51.48,-0.3
3.785,51.49,-1.5
3.802,51.48,-2.7
3.818,51.50,-3.9
3.835,51.49,-5.1
3.852,51.50,-6.2
3.868,51.50,-7.3
3.885,51.51,-8.3
3.902,51.52,-9.3
3.918,51.53,-10.1
3.935,51.53,-10.9
3.952,51.54,-11.7
3.968,51.54,-12.3
3.985,51.54,-12.9
4.002,51.54,-13.3
4.018,51.56,-13.7
4.035,51.55,-13.9
4.052,51.57,-14.1
4.068,51.57,-14.2
4.085,51.57,-14.1
4.103,51.57,-14.0
4.120,51.59,-13.7
4.137,51.58,-13.4
4.153,51.58,-13.0
4.170,51.59,-12.4
4.187,51.58,-11.8
4.203,51.59,-11.1
4.220,51.57,-10.4
4.237,51.56,-9.5
4.253,51.57,-8.6
4.270,51.55,-7.6
4.287,51.54,-6.6
4.303,51.52,-5.5
4.320,51.52,-4.4
4.337,51.50,-3.2
4.353,51.51,-2.1
4.370,51.48,-0.9
4.387,51.47,0.3
4.403,51.46,1.5
4.420,51.44,2.7
4.437,51.44,4.0
4.453,51.44,5.2
4.470,51.44,6.3
4.487,51.43,7.4
4.503,51.42,8.5
4.520,51.42,9.5
4.537,51.42,10.5
4.553,51.41,11.4
4.570,51.41,12.3
4.587,51.41,13.1
4.603,51.41,13.8
4.620,51.41,14.4
4.637,51.41,14.9
4.653,51.42,15.4
4.670,51.41,15.7
4.687,51.42,16.0
4.703,51.42,16.1
4.720,51.41,16.2
4.737,51.41,16.2
4.753,51.42,16.1
4.770,51.42,15.08
4.787,51.42,15.5
4.803,51.42,15.1
4.820,51.42,14.6
4.837,51.42,14.0
4.853,51.42,13.3
4.870,51.41,12.5
4.887,51.42,11.7
4.903,51.42,10.8
4.920,51.42,9.8
4.937,51.42,8.8
4.953,51.42,7.8
4.970,51.43,6.6
4.987,51.43,5.5
5.003,51.44,4.3
5.020,51.45,3.1
5.037,51.45,1.9
5.053,51.46,0.8
5.070,51.47,-0.4
5.087,51.47,-1.6
5.103,51.48,-2.8
5.120,51.50,-3.9
5.137,51.51,-5.0
5.153,51.52,-6.1
5.170,51.52,-7.1
5.187,51.53,-8.1
5.203,51.55,-9.0
5.220,51.55,-9.8
5.237,51.55,-10.6
5.253,51.55,-11.3
5.270,51.55,-11.9
5.287,51.56,-12.4
5.303,51.57,-12.8
5.320,51.58,-13.1
5.337,51.58,-13.4
5.353,51.59,-13.5
5.370,51.59,-13.6
5.387,51.59,-13.5
5.403,51.59,-13.3
5.420,51.59,-13.1
5.437,51.59,-12.8
5.453,51.59,-12.3
5.470,51.58,-11.8
5.487,51.58,-11.2
5.503,51.57,-10.5
5.520,51.57,-9.8
5.537,51.57,-9.0
5.553,51.56,-8.1
5.570,51.54,-7.1
5.587,51.53,-6.1
5.603,51.53,-5.1
5.620,51.54,-4.0
5.637,51.52,-2.8
5.653,51.51,-1.7
5.670,51.51,-0.5
5.687,51.48,0.6
5.703,51.48,1.8
5.720,51.48,3.0
5.737,51.48,4.1
5.753,51.46,5.2
5.770,51.45,6.4
5.787,51.44,7.4
5.803,51.44,8.5
5.820,51.42,9.4
5.837,51.42,10.4
5.853,51.41,11.03
5.870,51.42,12.1
5.887,51.42,12.8
5.903,51.42,13.5
5.920,51.41,14.1
5.937,51.40,14.6
5.953,51.43,15.0
5.970,51.43,15.3
5.987,51.44,15.5
6.003,51.43,15.7
6.020,51.44,15.7
6.037,51.44,15.7
6.053,51.45,15.5
6.070,51.44,15.3
6.087,51.44,15.0
6.103,51.44,14.5
6.120,51.44,14.0
6.137,51.42,13.4
6.153,51.42,12.8
6.170,51.42,12.0
6.187,51.42,11.2
6.203,51.42,10.3
6.220,51.41,9.4
6.237,51.41,8.4
6.253,51.42,7.4
6.270,51.43,6.3
6.287,51.43,5.2
6.303,51.44,4.1
6.320,51.45,2.9
6.337,51.45,1.8
6.353,51.45,0.6
6.370,51.46,-0.5
6.387,51.46,-1.7
6.403,51.48,-2.8
6.420,51.48,-3.9
6.437,51.48,-5.0
6.453,51.50,-6.0
6.470,51.51,-6.9
6.487,51.53,-7.8
6.503,51.53,-8.7
6.520,51.55,-9.5
6.537,51.56,-10.2
6.553,51.56,-10.9
6.570,51.57,-11.4
6.587,51.58,-11.9
6.603,51.59,-12.3
6.620,51.59,-12.6
6.637,51.60,-12.8
6.653,51.60,-13.0
6.670,51.60,-13.0
6.687,51.61,-12.9
6.703,51.61,-12.8
6.720,50.38,-11.21
6.737,50.44,-10.91
