,masa_A,
t,r,θr
4.27,46.66,-27.80
4.29,46.61,-24.50
4.30,46.55,-21.10
4.32,46.51,-17.60
4.34,46.47,-14.00
4.35,46.42,-10.20
4.37,46.40,-6.50
4.39,46.39,-2.80
4.40,46.37,0.90
4.42,46.37,4.70
4.44,46.33,8.40
4.45,46.31,11.50
4.47,46.27,15.20
4.49,46.23,18.60
4.50,46.21,22.00
4.52,46.18,25.20
4.54,46.14,28.40
4.55,46.13,31.40
4.57,46.09,34.10
4.59,46.08,36.70
4.60,46.06,39.00
4.62,46.01,41.20
4.64,45.99,43.00
4.65,45.92,44.70
4.67,45.88,46.10
4.69,45.86,47.20
4.70,45.83,48.00
4.72,45.81,48.60
4.74,45.80,48.80
4.75,45.80,48.80
4.77,45.80,48.60
4.79,45.79,48.00
4.80,45.78,47.20
4.82,45.81,46.10
4.84,45.81,44.70
4.85,45.86,43.00
4.87,45.89,41.20
4.89,45.89,39.10
4.90,45.91,36.70
4.92,45.96,34.10
4.94,45.99,31.40
4.95,46.00,28.40
4.97,46.01,25.30
4.99,46.05,22.00
5.00,46.09,18.70
5.02,46.12,15.20
5.04,46.17,11.60
5.05,46.19,8.50
5.07,46.21,4.70
5.09,46.23,0.90
5.10,46.26,-2.80
5.12,46.30,-6.60
5.14,46.34,-10.40
5.15,46.39,-14.00
5.17,46.43,-17.60
5.19,46.49,-21.10
5.20,46.56,-24.50
5.22,46.61,-27.60
5.24,46.66,-30.60
5.25,46.73,-33.40
5.27,46.77,-36.00
5.29,46.81,-38.40
5.30,46.84,-40.50
5.32,46.88,-42.30
5.34,46.91,-43.90
5.35,46.92,-45.20
5.37,46.94,-46.20
5.39,46.99,-46.90
5.40,46.97,-47.30
5.42,47.04,-47.50
5.44,47.01,-47.30
5.45,47.02,-46.80
5.47,47.01,-46.00
5.49,46.99,-45.00
5.50,46.97,-43.70
5.52,46.95,-42.10
5.54,46.94,-40.20
5.55,46.90,-38.10
5.57,46.87,-35.80
5.59,46.81,-33.20
5.60,46.75,-30.40
5.62,46.70,-27.50
5.64,46.64,-24.30
5.65,46.58,-21.10
5.67,46.54,-17.70
5.69,46.49,-14.20
5.70,46.46,-10.60
5.72,46.42,-6.90
5.74,46.37,-3.30
5.75,46.34,0.30
5.77,46.32,4.10
5.79,46.28,7.70
5.80,46.25,11.10
5.82,46.21,14.20
5.84,46.17,17.50
5.85,46.10,20.90
5.87,46.07,24.00
5.89,46.03,27.10
5.90,45.97,29.90
5.92,45.92,32.70
5.94,45.87,35.20
5.95,45.84,37.50
5.97,45.80,39.60
5.99,45.77,41.40
6.00,45.73,43.10
6.02,45.66,44.40
6.04,45.62,45.50
6.05,45.59,46.30
6.07,45.56,46.80
6.09,45.54,47.10
6.10,45.52,47.20
6.12,45.55,46.90
6.14,45.52,46.40
6.15,45.54,45.70
6.17,45.55,44.60
6.19,45.56,43.20
6.20,45.62,41.70
6.22,45.65,39.90
6.24,45.68,37.80
6.25,45.72,35.50
6.27,45.78,33.10
6.29,45.80,30.40
6.30,45.86,27.50
6.32,45.89,24.40
6.34,45.94,21.30
6.35,46.00,18.00
6.37,46.05,14.60
6.39,46.12,11.20
6.40,46.17,7.70
6.42,46.20,4.50
6.44,46.23,0.90
6.45,46.27,-2.80
6.47,46.32,-6.40
6.49,46.39,-10.10
6.50,46.46,-13.60
6.52,46.52,-17.20
6.54,46.59,-20.50
6.55,46.67,-23.80
6.57,46.75,-26.90
6.59,46.84,-29.80
6.60,46.90,-32.50
6.62,46.94,-35.00
6.64,46.99,-37.30
6.65,47.04,-39.40
6.67,47.11,-41.20
6.69,47.14,-42.70
6.70,47.18,-43.90
6.72,47.18,-44.90
6.74,47.19,-45.60
6.75,47.21,-46.00
6.77,47.21,-46.10
6.79,47.20,-46.00
6.80,47.22,-45.50
6.82,47.21,-44.80
6.84,47.15,-43.70
6.85,47.12,-42.40
6.87,47.09,-40.80
6.89,47.03,-39.00
