,mass_A,
t,r,θr
4.370,47.64,-34.2
4.387,47.61,-32.6
4.403,47.59,-30.7
4.420,47.56,-28.6
4.437,47.53,-26.4
4.453,47.49,-24.0
4.470,47.44,-21.5
4.487,47.42,-18.9
4.503,47.37,-16.2
4.520,47.31,-13.4
4.537,47.28,-10.5
4.553,47.22,-7.5
4.570,47.17,-4.5
4.587,47.13,-1.3
4.603,47.10,1.7
4.620,47.05,4.8
4.637,47.03,7.8
4.653,46.99,10.9
4.670,46.97,13.8
4.687,46.94,16.7
4.703,46.93,19.5
4.720,46.90,22.1
4.737,46.91,24.6
4.753,46.91,27.0
4.770,46.90,29.2
4.787,46.89,31.2
4.803,46.90,33.0
4.820,46.89,34.6
4.837,46.90,36.1
4.853,46.90,37.3
4.870,46.89,38.2
4.887,46.89,38.9
4.903,46.89,39.3
4.920,46.87,39.5
4.937,46.87,39.5
4.953,46.85,39.2
4.970,46.86,38.7
4.987,46.84,37.9
5.003,46.83,36.9
5.020,46.83,35.6
5.037,46.83,34.1
5.053,46.84,32.5
5.070,46.84,30.6
5.087,46.85,28.5
5.103,46.86,26.2
5.120,46.86,23.8
5.137,46.86,21.3
5.153,46.87,18.5
5.170,46.87,15.7
5.187,46.89,12.8
5.203,46.91,9.8
5.220,46.93,6.7
5.237,46.97,3.7
5.253,47.01,0.6
5.270,47.05,-2.5
5.287,47.10,-5.5
5.303,47.13,-8.6
5.320,47.18,-11.6
5.337,47.22,-14.4
5.353,47.26,-17.2
5.370,47.31,-19.9
5.387,47.37,-22.4
5.403,47.42,-24.8
5.420,47.45,-27.1
5.437,47.51,-29.2
5.453,47.51,-31.1
5.470,47.55,-32.8
5.487,47.56,-34.3
5.503,47.60,-35.6
5.520,47.60,-36.7
5.537,47.63,-37.5
5.553,47.66,-38.1
5.570,47.67,-38.5
5.587,47.67,-38.7
5.603,47.68,-38.6
5.620,47.67,-38.3
5.637,47.67,-37.7
5.653,47.66,-36.9
5.670,47.67,-35.8
5.687,47.66,-34.6
5.703,47.63,-33.2
5.720,47.61,-31.5
5.737,47.60,-29.7
5.753,47.56,-27.6
5.770,47.52,-25.4
5.787,47.49,-23.1
5.803,47.45,-20.6
5.820,47.41,-18.0
5.837,47.36,-15.4
5.853,47.32,-12.7
5.870,47.27,-9.8
5.887,47.22,-6.9
5.903,47.18,-3.9
5.920,47.14,-0.9
5.937,47.10,2.1
5.953,47.07,5.1
5.970,47.03,8.1
5.987,47.00,11.0
6.003,46.97,13.8
6.020,46.95,16.6
6.037,46.93,19.3
6.053,46.91,21.9
6.070,46.89,24.3
6.087,46.87,26.5
6.103,46.86,28.7
6.120,46.85,30.6
6.137,46.85,32.3
6.153,46.84,33.9
6.170,46.84,35.2
6.187,46.83,36.3
6.203,46.82,37.2
6.220,46.81,37.9
6.237,46.80,38.3
6.253,46.81,38.4
6.270,46.79,38.3
6.287,46.78,38.0
6.303,46.78,37.4
6.320,46.77,36.7
6.337,46.79,35.6
6.353,46.78,34.4
6.370,46.78,32.9
6.387,46.78,31.2
6.403,46.79,29.4
6.420,46.79,27.3
6.437,46.81,25.1
6.453,46.81,22.7
6.470,46.83,20.2
6.487,46.85,17.5
6.503,46.86,14.8
6.520,46.90,11.9
6.537,46.92,9.0
6.553,46.95,6.0
6.570,46.98,3.0
6.587,47.02,-0.0
6.603,47.07,-3.0
6.620,47.12,-6.1
6.637,47.17,-9.0
6.653,47.21,-11.8
6.670,47.27,-14.5
6.687,47.33,-17.2
6.703,47.38,-19.8
6.720,47.44,-22.3
6.737,47.51,-24.6
6.753,47.57,-26.8
6.770,47.62,-28.9
6.787,47.64,-30.7
6.803,47.67,-32.3
6.820,47.71,-33.7
6.838,47.72,-34.9
6.855,47.74,-35.9
6.872,47.76,-36.7
6.888,47.80,-37.2
6.905,47.82,-37.6
6.922,47.84,-37.7
6.938,47.83,-37.6
6.955,47.83,-37.2
6.972,47.82,-36.6
6.988,47.81,-35.8
7.005,47.81,-34.7
7.022,47.77,-33.5
7.038,47.76,-32.0
7.055,47.73,-30.4
7.072,47.70,-28.5
7.088,47.66,-26.5
7.105,47.62,-24.3
7.122,47.59,-22.1
7.138,47.55,-19.6
7.155,47.50,-17.1
7.172,47.44,-14.4
7.188,47.38,-11.7
7.205,47.32,-8.9
7.222,47.27,-6.1
7.238,47.22,-3.2
7.255,47.15,-0.3
7.272,47.11,2.6
7.288,47.06,5.5
7.305,47.02,8.3
7.322,46.98,11.2
7.338,46.95,13.9
7.355,46.90,16.6
7.372,46.89,19.2
7.388,46.85,21.6
7.405,46.83,23.9
7.422,46.81,26.1
7.438,46.80,28.1
7.455,46.79,29.9
7.472,46.79,31.6
7.488,46.77,33.0
7.505,46.77,34.2
7.522,46.78,35.3
7.538,46.77,36.0
7.555,46.76,36.6
7.572,46.73,36.9
7.588,46.72,37.0
7.605,46.72,36.9
7.622,46.71,36.6
7.638,46.71,35.9
7.655,46.71,35.1
7.672,46.71,34.0
7.688,46.72,32.8
7.705,46.71,31.3
7.722,46.73,29.6
7.738,46.74,27.8
7.755,46.76,25.7
7.772,46.76,23.5
7.788,46.77,21.2
7.805,46.79,18.7
7.822,46.82,16.1
7.838,46.83,13.4
7.855,46.88,10.7
7.872,46.91,7.8
7.888,46.95,4.9
7.905,46.99,2.0
7.922,47.04,-0.9
7.938,47.08,-3.9
7.955,47.14,-6.7
7.972,47.20,-9.6
7.988,47.26,-12.3
8.005,47.29,-14.9
8.022,47.36,-17.5
8.038,47.42,-20.0
8.055,47.50,-22.4
8.072,47.55,-24.6
8.088,47.59,-26.6
8.105,47.65,-28.6
8.122,47.71,-30.3
8.138,47.74,-31.8
8.155,47.76,-33.1
8.172,47.79,-34.2
8.188,47.80,-35.1
8.205,47.82,-35.8
8.222,47.83,-36.3
8.238,47.83,-36.6
8.255,47.85,-36.6
8.272,47.86,-36.4
8.288,47.86,-35.9
